90000,28,52061,50472,46226,40920,29863,19674,79,5000,10009,10000,0,7000
220000,27,34686,8,1744,55164,49967,7839,8,2178,55200,50148,10107,0
80000,37,21054,21776,22790,23411,23882,24356,1365,1379,1000,1000,871,1000
50000,27,44421,45897,46920,47864,50856,48390,2500,2100,2000,3900,0,2000
150000,25,140662,144334,148016,150128,94834,97487,6000,6000,5176,5000,4002,3628
100000,29,74396,75317,77084,78308,79901,81630,2700,3600,3100,3000,3200,3000
50000,33,53282,50936,49911,19817,20492,20365,3000,2300,715,1000,878,1000
230000,54,0,880,0,0,0,0,880,0,0,0,0,1740
230000,32,-46,-46,-46,4826,4829,1788,0,0,4872,4829,1788,1266
30000,26,21871,21222,22555,23874,14500,16500,0,1681,2000,2000,2000,2000
20000,56,11276,10803,11528,13524,13508,13149,0,1204,2200,500,0,700
20000,41,10142,10869,13940,14755,14223,15337,1200,3250,1340,0,1500,5000
240000,38,3833,4890,4157,14342,11411,3006,4890,4164,14371,11411,3006,13336
120000,26,88143,83432,78471,77711,79250,55860,6000,4100,3000,3000,2000,0
130000,27,0,1483,2450,0,1089,2249,1483,1000,0,1089,2249,2184
310000,30,13768,17520,21218,40531,41630,51983,4000,4000,20003,3027,20006,10056
80000,22,80491,64868,51936,30165,30145,30085,2327,1687,1052,1076,1121,1237
320000,28,11639,7508,5591,2371,4754,4932,2552,2016,0,12,5036,10306
50000,41,26948,16272,1000,0,0,0,5017,1103,0,0,0,0
280000,50,2712,4450,9754,0,8142,6997,4494,9754,0,8142,6997,0
210000,34,1262,33414,1828,0,11854,30949,33414,1828,0,11854,30288,1460
70000,38,70621,69821,68683,68771,55168,49674,2506,3500,2104,2015,2001,2102
30000,40,142,215,139,19,19,79,355,120,0,0,60,60
50000,50,48607,49540,49583,19695,20004,19904,2100,1500,1000,1000,1000,700
170000,39,2429,8054,4380,316,6131,5612,8077,4380,0,6131,0,3000
90000,28,41138,38755,38448,37612,36174,33769,2000,1866,1347,1065,1041,1500
180000,37,165369,125084,119946,114977,88757,84936,4402,4971,4750,2997,3133,3180
260000,42,78,984,0,0,0,0,984,0,0,0,0,0
10000,38,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0
160000,30,151270,153276,155301,155152,144602,148199,6000,6085,12534,0,6000,6000
10000,30,1473,3236,4790,390,0,780,3236,2000,390,0,780,0
150000,30,2384,4176,5877,1610,1180,2980,2000,2000,2000,1000,3000,0
90000,40,4918,4694,6547,7481,7212,7595,0,2100,1200,0,500,1000
200000,45,193641,121830,122181,121888,66771,65495,4543,5000,4500,3100,3000,1300
150000,37,7591,5538,18987,0,1399,150,5538,18987,0,1399,150,203
500000,49,5157,77667,94159,95209,97952,202991,77677,20000,3500,4371,107500,0
350000,37,325,294,6574,3543,1654,6186,294,6636,3559,1659,6215,325
280000,52,886,0,930,0,0,0,0,930,0,0,0,0
80000,50,8985,5305,2992,2984,2992,2992,2000,2992,2984,3000,2992,2992
230000,23,34975,35950,18661,12157,13104,13314,2000,1241,1157,1104,814,715
420000,39,2476,3570,11343,5216,23001,2439,3634,11353,5255,23001,2439,0
50000,42,1464,1469,2185,0,19777,19910,1469,2185,0,19777,629,296
60000,28,40784,41723,42665,43254,43757,44378,2001,2001,1690,1501,1617,1502
80000,28,77450,78100,76204,66876,66182,67199,3500,2600,2400,2500,2700,2300
210000,25,79453,61742,65068,73934,74752,82638,3000,5000,10000,2800,10000,5000
90000,40,42856,44925,0,787,1457,0,3114,0,787,1457,0,0
300000,36,77765,1443,41071,58995,24713,28948,1443,41071,58995,24713,28948,7210
160000,31,3089,0,12548,0,0,0,0,12548,0,0,0,0
50000,54,35068,34205,39148,38233,37318,39757,0,5500,0,0,3036,2000
100000,26,3144,2949,4480,764,528,933,0,1795,0,13,933,3000
600000,51,95286,78404,147559,323129,310042,311840,10448,85113,217035,11032,15019,10033
60000,37,30381,29986,29210,29729,30505,32232,366,0,1300,1400,2400,2300
100000,30,416,416,589,1416,416,416,416,1005,1416,416,416,0
70000,37,23546,26630,25922,27177,28930,28329,3800,0,2000,2200,0,2100
70000,22,24817,27424,28406,29013,29625,30404,3018,1500,1000,1001,1191,1000
290000,39,1358,2586,11101,21101,2833,4820,2613,11101,10000,2839,4826,1352
170000,30,27267,28523,29742,30183,31041,31871,2000,2000,1233,1500,1500,2000
70000,30,72576,70775,68184,67172,50596,48876,0,3047,2849,1800,2000,1944
350000,31,225434,214620,170451,156922,143062,224387,11000,0,5500,5000,100000,0
500000,39,2514,810,8041,68595,72011,77931,810,8081,68595,72011,77931,3608
330000,27,37587,39183,39305,40251,41683,38978,2000,2000,3000,3000,3000,1500
450000,26,20571,37283,43482,5626,73516,11854,20000,20006,5676,74306,11889,13347
140000,54,-150,-150,-150,-150,-150,-150,0,0,0,0,0,0
40000,37,12745,6889,8530,4610,-220,1060,1500,3005,0,0,2000,4000
210000,40,1582,326,3632,1967,3952,10330,326,3632,1967,3985,10330,8000
90000,28,52061,50472,46226,40920,29863,19674,79,5000,10009,10000,0,7000
50000,25,46741,48883,50074,60158,75277,90464,2900,2000,14455,16560,17000,0
500000,47,396,396,396,396,396,396,396,396,396,396,396,396
80000,29,76121,70109,58186,56234,53229,45519,2456,2053,1812,1819,1686,1224
240000,32,209368,204501,223137,226470,229706,234889,0,22000,8500,8500,9000,0
500000,45,140,94,39,44,0,0,94,39,44,0,0,790
60000,54,60500,58926,58625,58822,56661,40700,0,2500,2500,3000,4500,3000
240000,42,1986,1323,329,9228,7776,7500,1323,329,9228,7776,7500,635
160000,31,-200,-200,-200,0,10199,0,0,0,200,10199,303,0
310000,34,89600,83373,80533,70343,58365,51454,3100,3604,2366,2018,2000,1700
20000,42,15610,18250,0,0,0,1000,3000,0,0,0,1000,8024
180000,34,0,0,0,0,0,0,0,0,0,0,0,0
50000,24,390,0,672,-108,2830,0,0,672,0,2938,0,0
20000,23,12483,15032,14506,15516,15561,15910,3071,0,1555,600,600,700
180000,31,0,200,100,300,200,499,200,0,300,0,399,100
50000,41,51449,52260,40893,81308,41463,40045,1700,1679,1640,1449,1454,1466
80000,29,75234,76417,76916,51070,52727,54847,3007,5090,2001,3000,3000,3000
50000,41,45284,43951,47169,19096,19652,18889,1844,4562,667,847,700,655
30000,24,28436,28845,31071,30248,30354,29088,1800,3300,0,1500,1500,1300
210000,48,200822,206893,94347,-342,658,1758,11477,3658,0,1000,1800,14015
50000,25,27699,28513,29341,29928,29533,28538,1565,1393,980,994,1024,886
500000,40,353356,320704,321094,317546,279250,239172,17000,11684,15000,8995,9457,10000
90000,51,11315,12340,13349,14276,13904,14184,1212,1221,1148,0,510,525
150000,30,3415,2419,1541,1345,23018,1989,2425,1541,4,23087,1996,4010
240000,33,99938,92104,85194,83021,78556,78495,3500,4200,3600,3000,3000,3000
130000,25,4393,4178,10018,5353,5465,4559,0,6000,0,173,326,80
260000,33,1381,491,491,1132,1711,1070,493,493,1134,1072,2,3103
140000,53,8068,9446,13271,11243,12091,12691,1535,5004,1451,1000,1000,3194
220000,38,4438,7211,9948,10528,12412,13745,3000,3000,1000,2000,1500,0
50000,24,-22,834,-639,1559,-205,613,3000,0,3000,0,2000,1000
300000,39,20938,21064,26041,18158,18147,45199,21169,26171,18249,18238,45301,120
60000,58,22658,22703,23495,24349,23960,24530,700,1546,1400,0,900,0
